feature,vip
anthracycline,4.241562650995695
trastuzumab,2.8651246272469884
hypertension,2.5745982774581155
smoker,1.9071993217616874
LCX__max_dose_gy,1.5954964828645422
age,1.5874947976873552
LCX__integral_dose,1.5204422797552546
RCA__D98pct_gy,1.5202672112029383
LCX__V30Gy_cc,1.4970092981215413
RCA__D5pct_gy,1.4555823686432814
LAD__min_dose_gy,1.440703132637886
baseline_gls,1.3764369922322874
LCX__V10Gy_cc,1.3344630197266325
LCX__V15Gy_cc,1.314022347624321
LCX__V5Gy_cc,1.3140149261029073
LCX__V20Gy_cc,1.243724720804429
baseline_lv_wss,1.222489253538492
RCA__D95pct_gy,1.2201431321939629
LCX__V25Gy_cc,1.2097967520722084
LV__D98pct_gy,1.1920059045334503
baseline_lad_wss,1.0919094656525572
LAD__std_dose_gy,1.091269617238484
LCX__D98pct_gy,1.0352075404814742
LV__D95pct_gy,1.0207045223264872
heart__D95pct_gy,0.9744895127018061
LAD__D98pct_gy,0.9734922819635863
LCX__D95pct_gy,0.9707986773290338
LAD__D2pct_gy,0.9641755737530949
LAD__max_dose_gy,0.9565758069142022
RCA__max_dose_gy,0.955648961779926
heart__D98pct_gy,0.9476737060512466
LCX__D5pct_gy,0.9319966685349511
RCA__V5Gy_cc,0.9211846165005333
RCA__std_dose_gy,0.908818095064159
LAD__D95pct_gy,0.8787214949256766
RCA__integral_dose,0.8731017204503984
LV__V35Gy_cc,0.8607003076402868
LCX__V35Gy_cc,0.8542094732115195
RCA__V25Gy_cc,0.850215332652609
heart__max_dose_gy,0.8493090271503944
LV__V15Gy_cc,0.8457923825462357
LV__V20Gy_cc,0.8452771392152418
baseline_lv_eloss,0.8368357813979002
RCA__V30Gy_cc,0.8292134355447406
LV__V25Gy_cc,0.8235477655930208
LV__V30Gy_cc,0.8202777368020944
LV__max_dose_gy,0.8168040322212003
heart__V5Gy_cc,0.8116651811643428
LV__V40Gy_cc,0.7872803274243968
heart__V35Gy_cc,0.7836821081505987
heart__V40Gy_cc,0.7737891720839765
heart__integral_dose,0.7721376303902283
LCX__D10pct_gy,0.7689157696773313
LV__std_dose_gy,0.7524522795040236
heart__V10Gy_cc,0.7401730646425967
LCX__mean_dose_gy,0.7311522324473685
LCX__D50pct_gy,0.7193934588948147
LCX__median_dose_gy,0.7193934588948147
LCX__std_dose_gy,0.7191538058732756
RCA__V20Gy_cc,0.7116489202328234
heart__V15Gy_cc,0.6960860679645418
RCA__V10Gy_cc,0.694789160526268
heart__V20Gy_cc,0.6905046614803837
heart__V30Gy_cc,0.6901757751067217
heart__V25Gy_cc,0.6894356485399519
heart__median_dose_gy,0.687245813804862
heart__D50pct_gy,0.687245813804862
heart__mean_dose_gy,0.6808148922841888
RCA__D2pct_gy,0.6779815479560901
LAD__D50pct_gy,0.675226307679731
LAD__median_dose_gy,0.675226307679731
RCA__D10pct_gy,0.6695276592334242
RCA__D50pct_gy,0.6565439689916025
RCA__median_dose_gy,0.6565439689916025
RCA__V15Gy_cc,0.6484436422968543
RCA__mean_dose_gy,0.6353800459463755
LAD__V5Gy_cc,0.6343749101835359
LAD__V15Gy_cc,0.6341492625350375
LAD__D5pct_gy,0.6238068553750635
LAD__V10Gy_cc,0.6194877712215745
LV__D5pct_gy,0.6157405508945418
diabetes,0.6061254366456866
LV__D2pct_gy,0.5997923347492126
heart__D5pct_gy,0.5964912430740673
LV__median_dose_gy,0.5885560043922
LV__D50pct_gy,0.5885560043922
heart__D2pct_gy,0.586547333281564
heart__D10pct_gy,0.5852898997106545
LAD__V40Gy_cc,0.5817546191943552
LCX__D2pct_gy,0.5770624149617362
heart__std_dose_gy,0.5764682482897822
LAD__V35Gy_cc,0.5684511213482525
LV__integral_dose,0.5663895437015074
LAD__mean_dose_gy,0.5544646161058927
LAD__V30Gy_cc,0.5501124896054291
LAD__D10pct_gy,0.5384023398246354
LAD__integral_dose,0.5368124306871266
LV__V5Gy_cc,0.5298239656339078
LV__mean_dose_gy,0.5165474882520811
LAD__V25Gy_cc,0.5150155104778025
LV__D10pct_gy,0.5134946923891218
LAD__V20Gy_cc,0.496957740498633
LV__V10Gy_cc,0.4953089459310746
LCX__V40Gy_cc,0.4926088415243024
baseline_lvef,0.29553335807831
laterality_left,0.2897513170252221
laterality_right,0.289751317025222
baseline_lad_osi,0.16925185170061327
LV__min_dose_gy,0.0
heart__min_dose_gy,0.0
RCA__V35Gy_cc,0.0
RCA__V40Gy_cc,0.0
RCA__min_dose_gy,0.0
LCX__min_dose_gy,0.0
